                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                0.94779,                 8.4533,                0.66103,                0.91708,                 1.2145,                0.85122,                      1,                  0.995,                0.75084,                0.33333,                    0.2,                0.10305,                 0.0103,                0.88834,                 5.5744,                0.53554,                 2.2474,                 1.4647,             0.00049393,             0.00049393,             0.00049393
                     60,                 1.6402,                 8.0815,                0.60533,                 1.1356,                 1.9268,                0.82915,                      1,                  0.995,                0.86397,                   0.25,                    0.2,                0.10276,                0.01028,                0.64898,                 5.4179,                0.52115,                  1.726,                 1.0324,             0.00049076,             0.00049076,             0.00049076
                     61,                 1.0031,                 8.2055,                0.61781,                  1.091,                 1.4614,                0.82915,                      1,                  0.995,                0.86397,                   0.25,                    0.2,                0.10276,                0.01028,                0.64898,                 5.4179,                0.52115,                  1.726,                 1.0324,              0.0004872,              0.0004872,              0.0004872
                     62,                0.76212,                 6.9571,                 0.6154,                0.76121,                  1.104,                0.82915,                      1,                  0.995,                0.86397,                   0.25,                    0.2,                0.10276,                0.01028,                0.64898,                 5.4179,                0.52115,                  1.726,                 1.0324,             0.00048324,             0.00048324,             0.00048324
                     63,                0.74055,                 8.6133,                0.66852,                0.70945,                 1.2374,                0.98934,                      1,                  0.995,                0.87679,                      0,                      0,                      0,                      0,                0.60973,                 6.0499,                0.51165,                 1.5831,                 0.9936,             0.00047889,             0.00047889,             0.00047889
                     64,                0.93453,                 5.6702,                0.61712,                0.83692,                 1.3494,                0.98934,                      1,                  0.995,                0.87679,                      0,                      0,                      0,                      0,                0.60973,                 6.0499,                0.51165,                 1.5831,                 0.9936,             0.00047414,             0.00047414,             0.00047414
                     65,                0.77532,                 7.2627,                0.64242,                0.73125,                 1.1106,                0.98934,                      1,                  0.995,                0.87679,                      0,                      0,                      0,                      0,                0.60973,                 6.0499,                0.51165,                 1.5831,                 0.9936,             0.00046899,             0.00046899,             0.00046899
                     66,                0.77638,                 8.4368,                 0.6071,                0.68751,                 1.1478,                0.98492,                      1,                  0.995,                0.80715,                      0,                      0,                      0,                      0,                 0.6988,                 6.5493,                0.49641,                 1.2134,                 1.0592,             0.00046345,             0.00046345,             0.00046345
                     67,                 1.0031,                 6.3814,                0.68558,                0.79648,                 1.2799,                0.98492,                      1,                  0.995,                0.80715,                      0,                      0,                      0,                      0,                 0.6988,                 6.5493,                0.49641,                 1.2134,                 1.0592,             0.00045751,             0.00045751,             0.00045751
                     68,                0.72415,                 7.2486,                0.60878,                0.60432,                 1.0696,                0.98492,                      1,                  0.995,                0.80715,                      0,                      0,                      0,                      0,                 0.6988,                 6.5493,                0.49641,                 1.2134,                 1.0592,             0.00045118,             0.00045118,             0.00045118
                     69,                 0.8018,                 7.2345,                0.61309,                0.62714,                 1.0152,                0.95123,                      1,                  0.995,                0.74792,                      0,                      0,                      0,                      0,                0.68946,                 6.2869,                0.49435,                0.90547,                 1.0963,             0.00044445,             0.00044445,             0.00044445
